Program,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_MINIMAL,_IM_EQUIVALENT
lastZero,u-ORRN,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,0
lastZero,u-ORRN,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,1
lastZero,u-ORRN,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
lastZero,u-ORRN,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
lastZero,u-ORRN,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,1,0
lastZero,u-ORRN,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,1,0
lastZero,u-ORRN,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
lastZero,u-ORSN,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,0
lastZero,u-ORSN,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,0
lastZero,u-ORSN,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
lastZero,u-ORSN,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
lastZero,u-SMTC,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.2962962962962963,Declaration,1,0
lastZero,u-SMTT,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.2962962962962963,Declaration,0,0
lastZero,u-SRSR,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.5185185185185185,Assignment,0,0
lastZero,u-SRSR,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.5185185185185185,Assignment,0,0
lastZero,u-SRSR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,Block,0,0
lastZero,u-SRSR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,Block,0,0
lastZero,u-SRSR,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.2962962962962963,Block,0,0
lastZero,u-SSDL,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.5185185185185185,Assignment,0,0
lastZero,u-SSDL,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.5185185185185185,Assignment,0,0
lastZero,u-SSDL,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,Block,0,0
lastZero,u-SSDL,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,Block,0,0
lastZero,u-SSDL,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.2962962962962963,Block,0,0
lastZero,u-SSDL,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.2222222222222222,Return,0,0
lastZero,u-SSDL,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.2962962962962963,Block,0,0
lastZero,u-STRI,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
lastZero,u-STRI,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
lastZero,u-STRP,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.5185185185185185,Assignment,0,0
lastZero,u-STRP,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.5185185185185185,Assignment,0,0
lastZero,u-STRP,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,Block,0,0
lastZero,u-STRP,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,Block,0,0
lastZero,u-STRP,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.2962962962962963,Block,0,0
lastZero,u-STRP,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.2222222222222222,Return,0,0
lastZero,u-STRP,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.2962962962962963,Block,0,0
lastZero,u-VDTR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,0
lastZero,u-VDTR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,1
lastZero,u-VDTR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,0
lastZero,u-VDTR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,0
lastZero,u-VDTR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,1
lastZero,u-VDTR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,1,0
lastZero,u-VDTR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
lastZero,u-VDTR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,1
lastZero,u-VDTR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
lastZero,u-VDTR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
lastZero,u-VDTR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
lastZero,u-VDTR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
lastZero,u-VDTR,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.5185185185185185,Assignment,0,0
lastZero,u-VDTR,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.5185185185185185,Assignment,0,1
lastZero,u-VDTR,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.5185185185185185,Assignment,0,0
lastZero,u-VDTR,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.2222222222222222,Return,0,0
lastZero,u-VDTR,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.2222222222222222,Return,1,0
lastZero,u-VDTR,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.2222222222222222,Return,1,0
lastZero,u-VLSR,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.2962962962962963,For,0,0
lastZero,u-VLSR,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.2962962962962963,For,0,0
lastZero,u-VLSR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,0
lastZero,u-VLSR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,0
lastZero,u-VLSR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,0
lastZero,u-VLSR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,0
lastZero,u-VLSR,0,0,1.0,1.0,1.0,0.5,0.2857142857142857,0.4,0.0,For,0,0
lastZero,u-VLSR,0,0,1.0,1.0,1.0,0.5,0.2857142857142857,0.4,0.0,For,0,0
lastZero,u-VLSR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
lastZero,u-VLSR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
lastZero,u-VLSR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
lastZero,u-VLSR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
lastZero,u-VLSR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
lastZero,u-VLSR,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.5185185185185185,Assignment,0,0
lastZero,u-VLSR,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.5185185185185185,Assignment,0,0
lastZero,u-VLSR,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.5185185185185185,Assignment,0,0
lastZero,u-VLSR,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.5185185185185185,Assignment,0,0
lastZero,u-VLSR,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.2222222222222222,Return,0,0
lastZero,u-VLSR,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.2222222222222222,Return,0,0
lastZero,u-VTWD,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,0
lastZero,u-VTWD,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,1,0
lastZero,u-VTWD,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,1,0
lastZero,u-VTWD,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,0
lastZero,u-VTWD,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
lastZero,u-VTWD,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
lastZero,u-VTWD,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
lastZero,u-VTWD,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
lastZero,u-VTWD,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.5185185185185185,Assignment,0,0
lastZero,u-VTWD,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.5185185185185185,Assignment,0,0
lastZero,u-VTWD,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.2222222222222222,Return,0,0
lastZero,u-VTWD,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.2222222222222222,Return,0,0
lastZero,u-VVDL,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,0
lastZero,u-VVDL,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.8333333333333334,For,0,0
lastZero,u-VVDL,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0
